sec_level_sour|third_level_sour|sour_detail|fir_lead_source|sec_lead_source|touchpoint_id|brand
网销|汽车垂媒|爱卡汽车|网站平台接口|爱卡汽车|001006001007_tp|MG
网销|汽车垂媒|腾讯卖车宝|网站平台接口|腾讯卖车宝|001006001008_tp|MG
网销|经销商网销主动开拓|汽车之家网销主动开拓|厂方的网销其他平台|汽车之家|001006002001_tp|MG
网销|经销商网销主动开拓|论坛|经销商网销主动开拓|论坛|001006002002_tp|MG
网销|经销商网销主动开拓|QQ|经销商网销主动开拓|QQ|001006002003_tp|MG
网销|经销商网销主动开拓|腾讯|经销商网销主动开拓|腾讯|001006002004_tp|MG
网销|经销商网销主动开拓|合作资源1|经销商网销主动开拓|合作资源1|001006002005_tp|MG
网销|经销商网销主动开拓|合作资源3|经销商网销主动开拓|合作资源3|001006002006_tp|MG
网销|经销商网销主动开拓|社交营销|经销商网销主动开拓|社交营销|001006002007_tp|MG
网销|经销商网销主动开拓|合作资源2|经销商网销主动开拓|合作资源2|001006002008_tp|MG
网销|经销商网销主动开拓|新浪微博|厂方的网销其他平台|新浪微博|001006002009_tp|MG
大数据平台|算法圈人|冷线索|大数据平台|冷线索|001007001001_tp|MG
大数据平台|算法圈人|社交裂变|大数据平台|社交裂变|001007001002_tp|MG
大数据平台|算法圈人|精准线索|大数据平台|精准线索|001007001003_tp|MG
大数据平台|算法圈人|增换购|大数据平台|增换购|001007001004_tp|MG
大数据平台|大数据平台外部合作|车享家|大数据平台|车享家|001007002001_tp|MG
大数据平台|大数据平台外部合作|工商银行|大数据平台|工商银行|001007002002_tp|MG
大数据平台|大数据平台外部合作|平安租赁|大数据平台|平安租赁|001007002003_tp|MG
大数据平台|大数据平台外部合作|环球车享|大数据平台|环球车享|001007002004_tp|MG
大数据平台|大数据平台外部合作|浦发银行|大数据平台|浦发银行|001007002005_tp|MG
大数据平台|大数据平台外部合作|金融保客|大数据平台|金融保客|001007002006_tp|MG
大数据平台|大数据平台其他|金线索|大数据平台|金线索|001007003001_tp|MG
大数据平台|大数据平台其他|活动报名|大数据平台|活动报名|001007003002_tp|MG
大数据平台|大数据平台其他|一键询价|大数据平台|一键询价|001007003003_tp|MG
大数据平台|大数据平台其他|一键留资|大数据平台|一键留资|001007003004_tp|MG
大数据平台|大数据平台其他|销售顾问与我联系|大数据平台|销售顾问与我联系|001007003005_tp|MG
大数据平台|大数据平台其他|H5线下活动|大数据平台|H5线下活动|001007003006_tp|MG
大数据平台|大数据平台其他|科大讯飞|大数据平台|科大讯飞|001007003007_tp|MG
广告投放|微信朋友圈||投放|微信朋友圈|001008001000_tp|MG
广告投放|抖音||投放|抖音|001008002000_tp|MG
广告投放|今日头条||投放|今日头条|001008003000_tp|MG
广告投放|电商|第三方电商渠道|投放|第三方电商渠道|001008004001_tp|MG
广告投放|电商|厂方的网销其他平台-天猫|厂方的网销其他平台|天猫|001008004002_tp|MG
广告投放|电商|电商-天猫|电商|天猫|001008004003_tp|MG
广告投放|汽车垂媒投放|汽车之家投放|投放|汽车之家投放|001008005001_tp|MG
广告投放|汽车垂媒投放|懂车帝广告投放|投放|懂车帝广告投放|001008005002_tp|MG
广告投放|汽车垂媒投放|易车广告投放|投放|易车广告投放|001008005003_tp|MG
SIS接口分配|SIS其它||SIS接口分配|SIS其它|001009001000_tp|MG
其他|厂方导入|地区性网站|厂方导入|地区性网站|001010001001_tp|MG
其他|厂方导入|合作伙伴|厂方导入|合作伙伴|001010001002_tp|MG
其他|活动|KBU活动集客-顾问|活动|KBU活动集客-顾问|001010002001_tp|MG
其他|活动|KBU活动集客-小蜜蜂|活动|KBU活动集客-小蜜蜂|001010002002_tp|MG
其他|活动|KBU活动集客-大屏|活动|KBU活动集客-大屏|001010002003_tp|MG
其他|活动|A类活动|活动|A类活动|001010002004_tp|MG
其他|经销商网销主动开拓|基盘客户(网销)|经销商网销主动开拓|基盘客户(网销)|001010003001_tp|MG
其他|经销商网销主动开拓|官方分配|经销商网销主动开拓|官方分配|001010003002_tp|MG
其他|经销商网销主动开拓|网销外展|经销商网销主动开拓|网销外展|001010003003_tp|MG
其他|经销商网销主动开拓|新渠道|经销商网销主动开拓|新渠道|001010003004_tp|MG
其他|上报平台|直播异地线索|上报平台|直播异地线索|001010004001_tp|MG
其他|网站平台接口|网站|网站平台接口|网站|001010005001_tp|MG
其他|智能调配|精准线索|智能调配|精准线索|001010006001_tp|MG
一方触点|官网|荣威官网PC端二手车|厂方二手车平台|荣威官网PC端二手车|001003001001_rw|RW
一方触点|官网|荣威官网移动端二手车|厂方二手车平台|荣威官网移动端二手车|001003001002_rw|RW
一方触点|官网|官网-厂方导入|厂方导入|官网|001003001003_rw|RW
一方触点|官网|荣威官网试乘试驾|第一方触点|荣威官网试乘试驾|001003001004_rw|RW
一方触点|官网|荣威官网小额定|第一方触点|荣威官网小额定|001003001005_rw|RW
一方触点|APP|荣威APP|第一方触点|荣威APP|001003002001_rw|RW
一方触点|APP|荣威APP二手车|厂方二手车平台|荣威APP二手车|001003002002_rw|RW
一方触点|APP|官方APP试乘试驾留资|第一方触点|官方APP试乘试驾留资|001003002003_rw|RW
一方触点|APP|荣威试乘试驾|荣威APP|荣威试乘试驾|001003002004_rw|RW
一方触点|APP|定金定单未支付|荣威APP|定金定单未支付|001003002005_rw|RW
一方触点|APP|荣威小额定|荣威APP|荣威小额定|001003002006_rw|RW
一方触点|APP|小额定单未支付|第一方触点|小额定单未支付|001003002007_rw|RW
一方触点|一方触点其他|车展互动活动|第一方触点|车展互动活动|001003003001_rw|RW
新媒体触点|新媒体触点|百度小程序|第一方触点|百度小程序|001004001001_rw|RW
新媒体触点|新媒体触点|今日头条小程序|第一方触点|今日头条小程序|001004001002_rw|RW
新媒体触点|新媒体触点|官方小程序|第一方触点|小程序|001004001003_rw|RW
新媒体触点|新媒体触点|抖音小程序|第一方触点|抖音小程序|001004001004_rw|RW
新媒体触点|新媒体触点|支付宝小程序|第一方触点|支付宝小程序|001004001005_rw|RW
新媒体触点|新媒体触点|快手小程序|第一方触点|快手小程序|001004001006_rw|RW
厂方活动|线下活动|A类活动|活动|A类活动|001005001001_rw|RW
厂方活动|线下活动|车展互动活动|第一方触点|车展互动活动|001005001002_rw|RW
厂方活动|异业合作|金线索|大数据平台|金线索|001005002001_rw|RW
厂方活动|异业合作|车享家|大数据平台|车享家|001005002002_rw|RW
厂方活动|异业合作|浦发银行|大数据平台|浦发银行|001005002003_rw|RW
厂方活动|异业合作|邮储银行|大数据平台|邮储银行|001005002004_rw|RW
厂方活动|异业合作|金融保客|大数据平台|金融保客|001005002005_rw|RW
厂方活动|异业合作|合作伙伴|厂方导入|合作伙伴|001005002006_rw|RW
厂方活动|厂方活动其他|手动创建二手车|厂方二手车平台|手动创建二手车|001005003001_rw|RW
厂方活动|厂方活动其他|员工推荐购车|厂方导入|员工推荐购车|001005003002_rw|RW
厂方活动|厂方活动其他|厂方系统数据|厂方导入|厂方系统数据|001005003003_rw|RW
厂方活动|厂方活动其他|社交裂变|大数据平台|社交裂变|001005003004_rw|RW
厂方活动|厂方活动其他|KBU活动集客-大屏|活动|KBU活动集客-大屏|001005003005_rw|RW
厂方活动|厂方活动其他|KBU活动集客-小蜜蜂|活动|KBU活动集客-小蜜蜂|001005003006_rw|RW
厂方活动|厂方活动其他|KBU活动集客-顾问|活动|KBU活动集客-顾问|001005003007_rw|RW
广告投放|广告投放|百度广告投放|投放|百度广告投放|001006001001_rw|RW
广告投放|广告投放|快手效果通|投放|快手效果通|001006001002_rw|RW
广告投放|广告投放|携程|投放|携程|001006001003_rw|RW
广告投放|广告投放|新浪财经|投放|新浪财经|001006001004_rw|RW
广告投放|广告投放|腾讯新闻|投放|腾讯新闻|001006001005_rw|RW
广告投放|广告投放|小红书|投放|小红书|001006001006_rw|RW
广告投放|广告投放|效果通|投放|效果通|001006001007_rw|RW
广告投放|广告投放|微信朋友圈|投放|微信朋友圈|001006001008_rw|RW
广告投放|广告投放|网易|投放|网易|001006001009_rw|RW
广告投放|广告投放|抖音|投放|抖音|001006001010_rw|RW
广告投放|广告投放|新浪|投放|新浪|001006001011_rw|RW
广告投放|广告投放|一点资讯|投放|一点资讯|001006001012_rw|RW
广告投放|广告投放|广点通|投放|广点通|001006001013_rw|RW
广告投放|广告投放|今日头条|投放|今日头条|001006001014_rw|RW
广告投放|广告投放|第三方电商渠道|投放|第三方电商渠道|001006001015_rw|RW
广告投放|广告投放|车来了|投放|车来了|001006001016_rw|RW
广告投放|广告投放|知乎|投放|知乎|001006001017_rw|RW
广告投放|广告投放|OTT智能电视|投放|OTT智能电视|001006001018_rw|RW
广告投放|广告投放|去哪儿投放|投放|去哪儿投放|001006001019_rw|RW
广告投放|广告投放|妈妈帮|投放|妈妈帮|001006001020_rw|RW
广告投放|广告投放|有数儿汽车|投放|有数儿汽车|001006001021_rw|RW
广告投放|广告投放|虎扑投放|投放|虎扑投放|001006001022_rw|RW
广告投放|广告投放|云和点动|投放|云和点动|001006001023_rw|RW
广告投放|广告投放|搜狐投放|投放|搜狐投放|001006001024_rw|RW
广告投放|汽车垂媒投放|汽车之家投放|投放|汽车之家投放|001006002001_rw|RW
广告投放|汽车垂媒投放|懂车帝广告投放|投放|懂车帝广告投放|001006002002_rw|RW
广告投放|汽车垂媒投放|易车广告投放|投放|易车广告投放|001006002003_rw|RW
广告投放|汽车垂媒投放|易车效益达|投放|易车效益达|001006002004_rw|RW
广告投放|汽车垂媒投放|网上车市|投放|网上车市|001006002005_rw|RW
广告投放|汽车垂媒投放|爱卡汽车|投放|爱卡汽车|001006002006_rw|RW
广告投放|汽车垂媒投放|58汽车|投放|58汽车|001006002007_rw|RW
广告投放|汽车垂媒投放|太平洋汽车网|投放|太平洋汽车网|001006002008_rw|RW
经销商网销主动开拓|经销商网销主动开拓其他|官方分配|经销商网销主动开拓|官方分配|001007001001_rw|RW
经销商网销主动开拓|经销商网销主动开拓其他|新渠道|经销商网销主动开拓|新渠道|001007001002_rw|RW
经销商网销主动开拓|经销商网销主动开拓其他|百度有驾线下建卡|经销商网销主动开拓|百度有驾线下建卡|001007001003_rw|RW
经销商网销主动开拓|经销商网销主动开拓其他|社交营销|经销商网销主动开拓|社交营销|001007001004_rw|RW
经销商网销主动开拓|经销商网销主动开拓其他|QQ|经销商网销主动开拓|QQ|001007001005_rw|RW
经销商网销主动开拓|经销商网销主动开拓其他|线上外拓|经销商网销主动开拓|网销线上外拓|001007001006_rw|RW
经销商网销主动开拓|经销商网销主动开拓其他|合作资源1|经销商网销主动开拓|合作资源1|001007001007_rw|RW
经销商网销主动开拓|经销商网销主动开拓其他|基盘客户(网销)|经销商网销主动开拓|基盘客户(网销)|001007001008_rw|RW
三方电商|天猫|Tmall渠道|三方电商|Tmall渠道|001011001001_rw|RW
三方电商|天猫|天猫|电商|天猫|001011001002_rw|RW
三方电商|苏宁||三方电商|苏宁渠道|001011002000_rw|RW
汽车垂媒|汽车之家|汽车之家采买|网站平台接口|汽车之家|001009001001_rw|RW
汽车垂媒|懂车帝|懂车帝采买|网站平台接口|懂车帝|001009002001_rw|RW
汽车垂媒|易车网|易车网采买|网站平台接口|易车网|001009003001_rw|RW
汽车垂媒|其他垂媒采买|车智推平台|网站平台接口|车智推平台|001009004001_rw|RW
汽车垂媒|其他垂媒采买|卡盟粒子|网站平台接口|卡盟粒子|001009004002_rw|RW
汽车垂媒|其他垂媒采买|车智推|网站平台接口|车智推|001009004003_rw|RW
汽车垂媒|其他垂媒采买|好车网|网站平台接口|好车网|001009004004_rw|RW
汽车垂媒|其他垂媒采买|太平洋|网站平台接口|太平洋|001009004005_rw|RW
汽车垂媒|其他垂媒采买|爱卡汽车|网站平台接口|爱卡汽车|001009004006_rw|RW
汽车垂媒|其他垂媒采买|17汽车网|网站平台接口|17汽车网|001009004007_rw|RW
汽车垂媒|其他垂媒采买|电商|网站平台接口|电商|001009004008_rw|RW
SIS接口分配||SIS其它|SIS接口分配|SIS其它|001010001001_rw|RW
SIS接口分配||R客户转卡|SIS接口分配|R客户转卡|001010001002_rw|RW
其他|原R标线索|R-App定金定单未支付|R-APP|定金定单未支付|001012001001_rw|RW
其他|原R标线索|R汽车厂方线索|R汽车厂方导入|R汽车厂方线索|001012001002_rw|RW
其他|原R标线索|R汽车车展互动|第一方触点|R汽车车展互动|001012001003_rw|RW
其他|原R标线索|R汽车门店活动定向拉新|第一方触点|R汽车门店活动定向拉新|001012001004_rw|RW
其他|原R标线索|北京RSPACE集客小程序|第一方触点|北京RSPACE集客小程序|001012001005_rw|RW
其他|原MG线索|MG俱乐部|俱乐部|MG俱乐部|001012002001_rw|RW
其他|原MG线索|名爵车主俱乐部二手车|厂方二手车平台|名爵车主俱乐部二手车|001012002002_rw|RW
其他|原MG线索|名爵小额定|名爵APP|名爵小额定|001012002003_rw|RW
其他|官方认证二手车|二手车小程序|官方认证二手车|二手车小程序|001012003001_rw|RW
